,index,Unnamed: 0,Date,Title,Introduction,prediction
0,0,0,2023-06-01,金智秀新冠确诊,导语：金智秀新冠确诊,Positive
1,2,2,2023-06-01,打卡中国,导语：2023“打卡中国·读懂中国式现代化”网络国际传播活动围绕“一带一路”倡议提出十周年、高质量发展、乡村振兴等内容，邀请外国网红实地打卡河南、辽宁、江西、安徽、陕西等地，感受中国式现代化的生动实践，以“外”的视角阐释中国式现代化的内涵和外延，增进中国与世界的互动交流、互信合作。,Positive
2,3,3,2023-06-01,柳州与女子不雅聊天公职人员被免职,导语：据柳州市柳南区委员会，针对网传柳南区某公职人员与一女子不雅聊天记录事件，柳南区高度重视，立即组织相关部门开展核查。目前，涉事人员梁某（柳南区工业和信息化局党组书记、局长）已免职,Negative
3,4,4,2023-06-01,研究生辞谢信彰显卧龙凤雏,导语：哈哈哈哈 主打一个畅所欲言,Positive
4,5,5,2023-06-01,梦中的那片海开播收视率,导语：期待《梦中的那片海》开播收视率！ ​​​,Negative
5,8,8,2023-06-01,百度网盘被苹果AppStore下架,导语：6 月 1 日消息，据多名网友反馈，苹果 App Store 搜索及页面显示，百度网盘 App 已经从苹果 App Store 应用商店下架，弹窗显示“不再提供百度网盘，开发人员已从 App Store 中移除此 App”。,Negative
6,9,9,2023-06-01,专家称不排除二阳后还会有三阳,导语：四川大学华西公共卫生学院流行病学教授栾荣生介绍，不能排除反复发生“二阳”“三阳”等后续多次感染的情况，但是随着新冠毒株变异减少，毒株稳定以及毒性减弱，此前形成的抗体还是可以帮助降低感染的风险，并且之后即使再感染，症状也会有所减轻，病程缩短。,Positive
7,12,12,2023-06-01,张杰把开心快乐送给女儿们,导语：@张杰 儿童节发布女儿视频并配文：开心快乐是送给你们的礼物,Positive
8,15,15,2023-06-01,徐明浩直播,导语：徐明浩微博直播进行时～,Negative
9,17,17,2023-06-01,阿根廷中国行票价公布,导语：#阿根廷中国行票价公布#官宣了！第一次申购开始时间：2023年6月5日13：00；第二次申购开始时间：2023年6月8日13：00；票价：580元，1380元，2800元，3200元，3800元，4800元。,Negative
10,18,18,2023-06-01,官方通报局长出轨女经理,导语：广西柳州一局长出轨女经理，局长老婆将两人露骨聊天记录群发全市公务员群？当地纪委监委：正在核查,Positive
11,21,21,2023-06-01,河南人和山东人都别沉默了,导语：哈哈哈哈哈 快跟我一起念,Positive
12,22,22,2023-06-01,王诗龄晒健身照,导语：王诗龄又去健身了,Positive
13,23,23,2023-06-01,肖战拍的最久的一场戏,导语：肖战拍的最久的一场戏,Negative
14,24,24,2023-06-01,唐僧为什么忘记替老龟问寿命,导语：所以原著里到底是什么剧情呀....,Negative
15,26,26,2023-06-01,女子退猫被拒后直接把猫摔死,导语：6月1日，浙江宁波。昨晚一位爸爸带着女儿来李女士店里买走一只小猫，今早李女士发信息回访猫咪吃喝拉撒如何，买家回信息表示都好。中午孩子妈妈突然带猫来店里说养不了要退掉，李女士表示小猫没有健康问题是不退换的，商量无果后孩子妈妈直接把猫摔到地上。,Positive
16,28,28,2023-06-01,EXO是我们公司非常珍惜的艺人,导语：傻帽真敢说，该怎么反驳它！？,Negative
17,29,29,2023-06-01,WBG零封JDG,导语：WBG团灭对手推平基地，连赢两局拿下胜利！,Positive
