,Date,Title,Introduction
0,2023-07-01,他们的名字成为闪耀的路标,从“大钊路”到“延乔路”，从“钱学森星”到“屠呦呦星”，他们的名字刻在大街小巷，闪耀在璀璨星空。
1,2023-07-01,胖东来老板劝网友卖房,近日，胖东来老板于东来在直播间就网友问题的解答引发关注。
2,2023-07-01,刘美含 北大,
3,2023-07-01,七一勋章获得者的事迹有多感人,今天，#中国共产党成立102周年#纪念日，重温“七一勋章”获得者的感人事迹，致敬，学习！
4,2023-07-01,金曲奖,
5,2023-07-01,消失的她票根还有隐藏刀,是哪位网友想到的把《消失的她》温感票根放进冰箱！空气逐渐冰冷，在“何非”背后的“木子”渐渐消失……
6,2023-07-01,澡堂子偶遇王嘉尔,请问：网友澡堂子偶遇王嘉尔是什么体验？甚至还一起合照，没有明星架子，隔着屏幕我实名羡慕啦！[赢牛奶]
7,2023-07-01,Uzi选出VN,Uzi选出VN
8,2023-07-01,网友感谢王一博赞助奖学金,网友感谢王一博赞助奖学金。
9,2023-07-01,EDG战胜WE,
10,2023-07-01,法国骚乱已蔓延到邻国比利时,比利时《晚报》当地时间6月30日报道称，比利时警方当天在布鲁塞尔已逮捕超过100名参与骚乱的年轻人，其中多人“持有武器”。
11,2023-07-01,高校男生被女生喷不明液体双方已和解,7月1日，浙江金华。一段男生穿着军训服被女生喷不明液体的视频引关注，网传聊天记录中称该液体为油漆加开水，另有一张医院病历单显示男生二度烧伤。
12,2023-07-01,正式被确诊为浣碧,正式被确诊为浣碧
13,2023-07-01,白敬亭这真的是你吗,
14,2023-07-01,杨紫你好星期六下周预告,杨紫《你好星期六》下期预告，长相思小夭来了！
15,2023-07-01,消失的她,悬疑犯罪电影《消失的她》将于6月22日全国上映！本片由陈思诚监制，崔睿、刘翔执导，朱一龙、倪妮、文咏珊领衔主演，杜江特邀主演。
16,2023-07-01,慷慨病,
17,2023-07-01,广西一教师在医院楼顶水箱溺亡,6月29日，有网友在社交媒体发布消息称，广西扶绥县一名驻村干部在该县瑞康医院住院期间，被发现溺亡在医院住院部楼顶的水箱中。
18,2023-07-01,徐佳莹女儿好可爱,徐佳莹女儿好可爱
19,2023-07-01,金地雄晕倒,
20,2023-07-01,鸟胃型猪瘾,
21,2023-07-01,原来用臀部发力走路腿会变直,
22,2023-07-01,女生本科毕业就成功应聘高校教师,近日，湖北工业大学职业技术师范学院19电商（师资）1班王璐同学，以综合第一的好成绩，成功获得引进天门职业学院经济贸易服务学院担任电子商务教师。
23,2023-07-01,沈月说到杨迪就哭了,沈月在青春环游记里提到杨迪就感动流泪了
24,2023-07-01,鹿晗演唱会给粉丝送Gucci,鹿晗演唱会给粉丝送gucci
25,2023-07-01,女游客左腿被绞入自动步道传送带现场截肢保命,
26,2023-07-01,柳智敏直播状态,柳智敏直播状态
27,2023-07-01,金曲奖红毯,
28,2023-07-01,于文文去看了薛之谦演唱会,于丸丸去了薛之谦演唱会！ 梦回一波无限歌谣季
29,2023-07-01,娄艺潇自曝体重快120斤,6月30日，陕西西安。搜狐新闻马拉松赛后采访环节，@娄艺潇 自曝她的体重快120斤了，她希望大家拒绝身材焦虑，不要过度关注体重，不要过度追求白幼瘦审美。
30,2023-07-01,国科大校长说着说着就哭了,7月1日，中国科学院大学毕业典礼，校长周琪院士发表毕业致辞。提到前不久逝世的微电子所研究员黄令仪时，他一度哽咽。“我这辈子最大的心愿就是匍匐在地，擦干祖国身上的耻辱。”
31,2023-07-01,丁太昇点评湾区升明月真假唱,丁太昇点评湾区升明月真假唱！说的还挺有道理的！他说“真唱一定比假唱值得尊敬”
32,2023-07-01,EDG对战WE,
33,2023-07-01,林俊杰金曲奖致敬林秋离,林俊杰在金曲奖舞台上致敬林秋离！
34,2023-07-01,我的麦子熟了 我也该醒了,
