,index,Unnamed: 0,Date,Title,Introduction,prediction
0,0,0,2023-08-01,逐梦强军,导语：他们，是祖国的卫士，也是人民的英雄！致敬！,Negative
1,5,5,2023-08-01,心动6三个男生都投给了女一,导语：《心动的信号6》心动6三个男生都投给了女一范依岚！,Positive
2,6,6,2023-08-01,涂山璟说抱歉实在没忍住,导语：《长相思》涂山璟说抱歉实在没忍住，啊啊啊啊你真的太好了 ​,Positive
3,8,8,2023-08-01,小夭吻得好主动,导语：小夭吻得好主动,Negative
4,9,9,2023-08-01,10岁女童来京探亲被水冲走,导语：7月31日，暑假来京探亲的河南10岁女童苗春优在门头沟区潭柘寺镇南辛房村被水冲走，至今下落不明。,Positive
5,11,11,2023-08-01,奥利开通微博,导语：奥利开通微博,Negative
6,12,12,2023-08-01,和TFBOYS共赴十年约定,导语：2013-2023，出道十周年快乐，共赴这十年之约，TFBOYS永远是四叶草的心动讯号。,Positive
7,14,14,2023-08-01,曝宝能集团姚振华被讨薪员工围殴,导语：7月31日，广东深圳宝能中心停车场外，曝公司董事长姚振华被10余名讨薪员工围追殴打，还在冲突过程中大喊：“你们这是犯法。”员工回应：“欠薪两年不犯法吗？”,Positive
8,15,15,2023-08-01,长相思刚喜欢上的男人变成了我姐,导语：《长相思》刚喜欢上的男人变成了我姐,Positive
9,16,16,2023-08-01,顺丰通报38万元劳力士手表遗失事件进展,导语：顺丰通报38万元劳力士手表遗失事件进展：初步判定系外部人员所为,Positive
10,17,17,2023-08-01,感谢老天送我一个情绪稳定的女儿,导语：妈妈晕倒，5岁女孩冷静拨打120等待救援，给住得近的老师打电话请求帮助，给出差的爸爸打电话说当时的情况。,Positive
11,20,20,2023-08-01,中图网库房被淹近百人被困,导语：中图网紧急求援，在河北涿州的图书库房被淹，近百人被困。,Positive
12,21,21,2023-08-01,女婴心脏扎进一根4厘米绣花针,导语：8月1日，陕西西安，一5月大女婴因抽搐和意识障碍被送医。检查发现，心脏处有一根4厘米长的绣花针。,Negative
13,22,22,2023-08-01,魏大勋高中同学的留言,导语：看到魏大勋高中同学的留言,Negative
14,23,23,2023-08-01,失业三天被妈妈说了三次,导语：失业三天被妈妈说了三次,Negative
15,24,24,2023-08-01,邓为上身身材,导语：邓为上身身材,Positive
16,29,29,2023-08-01,待产孕妇在声声鼓励中登上冲锋舟,导语：7月31日晚，河北保定涿州一名待产孕妇急需转移。做好安全防护后，两名消防救援人员前后防护，搀扶其慢慢移动到楼下，积水最深处时，消防救援人员将孕妇抱起，小心翼翼成功将其转移至室外的冲锋舟上。,Positive
17,30,30,2023-08-01,山西蓝天救援队解救涿州被困群众,导语：7月31日晚，山西派出蓝天救援队驰援北京、河北，截止8月1日凌晨4点，救援队共10车14船41人已进入河北境内，持续救出被困群众↓↓救援人员辛苦了！,Positive
18,32,32,2023-08-01,俄罗斯素食主义网红去世,导语：据美媒7月31日报道，俄罗斯一名素食主义网红詹娜·萨姆索诺娃多年来只生食水果，最后因饥饿去世。据报道，她因“纯素饮食使身体疲意不堪”，而加剧了“霍乱样感染”。她的家人和朋友曾试图劝说其均衡饮食，但遭到萨姆索诺娃拒绝。,Positive
19,33,33,2023-08-01,莲花楼,导语：电视剧《莲花楼》由成毅、曾舜晞、肖顺尧领衔主演，武林悬案，十年故人，莲花楼现身，敬请期待！,Negative
20,34,34,2023-08-01,老兵隐功70年说不让子女搞特殊,导语：隐功70余载，“活着的烈士”滕元兴：不愿让子女躺在我的功劳簿上,Negative
21,38,38,2023-08-01,爸爸当家,导语：《爸爸当家》首档男性全职育儿观察真人秀，5月10日起每周二中午12:00准时上线！,Negative
22,41,41,2023-08-01,吴世勋上身身材,导语：吴世勋上身身材,Positive
23,42,42,2023-08-01,哥哥1万元偷卖妹妹房子给女儿,导语：广东广州，哥哥1万元偷卖妹妹房子给女儿。,Positive
24,43,43,2023-08-01,王楚然方发动图证明没P图,导语：王楚然方发动图证明没p图,Negative
25,45,45,2023-08-01,姬发做质子的八年伯邑考在干什么,导语：《封神》姬发做质子的八年伯邑考在干什么,Positive
26,47,47,2023-08-01,河北暴雨,导语：河北省气象台2023年08月11日17时继续发布暴雨黄色预警信号！,Negative
27,48,48,2023-08-01,京城大师赛,导语：全网最有趣配置最高的狼人杀推理类《京城大师赛》每周三、四、五晚19:30！欢迎加入一起哈哈哈🥳,Positive
28,51,51,2023-08-01,长相思10年前就开始筹备了,导语：长相思10年前就在筹备拍了,Positive
29,54,54,2023-08-01,王霜破门,导语：世界杯中国女足vs英格兰下半场，王霜点射破门，扳回一球！,Positive
30,55,55,2023-08-01,LNG战胜BLG,导语：2023LPL夏季赛季后赛败者组决赛，LNG大比分3-1战胜BLG，成功挺进夏季赛总决赛！,Positive
31,56,56,2023-08-01,志愿军伙房门口的对联笑哭了,导语：写个对联，贴在伙房门口：“志愿军是钢铁，烈火燃烧，越烧越硬，非胜不可”；下联是“美国鬼是稀饭，越煮越干，一定完蛋”；横批：一点儿不错！,Negative
32,61,61,2023-08-01,DRG锁定第三轮S组,导语：佛山DRG在今日常规赛第二轮S/A卡位赛中战胜对手后，确认进入2023KPL夏季赛常规赛第三轮S组！,Positive
33,63,63,2023-08-01,不要这么安慰焦虑的人,导语：想问问大家平时怎么安慰人？,Negative
34,65,65,2023-08-01,习近平对防汛救灾工作作出重要指示,导语：中共中央总书记、国家主席、中央军委主席习近平对防汛救灾工作作出重要指示。,Positive
35,67,67,2023-08-01,中国女足扳回1球,导语：2023年女足世界杯小组赛D组第3轮，王霜在第57分钟打进点球，中国女足扳回1球。,Positive
36,68,68,2023-08-01,中国女足落后,导语：半场比赛结束，中国女足0-3落后英格兰女足。,Negative
37,70,70,2023-08-01,相柳幻化女装见小夭,导语：#相柳幻化女装见小夭#,Positive
38,71,71,2023-08-01,张晚意戏里戏外都很讨厌涂山璟,导语：《长相思》哈哈玱玹能有什么坏心思呢，玱玹哥哥他从小就要面子哈哈哈太可爱了吧！,Positive
39,72,72,2023-08-01,内娱天选将军文男主,导语：谁是你心中的内娱天选将军文男主呢，快来参与话题讨论吧！,Negative
40,76,76,2023-08-01,葡萄牙女足0比0美国女足,导语：在刚刚结束的女足世界杯小组赛中，美国女足与葡萄牙女足0-0战平，1分优势位列小组第二。以E组2号种子身份晋级！,Positive
41,77,77,2023-08-01,女网红遭陌生人要求陪酒系策划摆拍,导语：据当事人称，摆拍视频是为了引流盈利，现在非常后悔。,Positive
42,78,78,2023-08-01,越南女足0比7荷兰女足,导语：全场结束，荷兰女足7比0战胜越南女足，2胜1平结束小组赛，越南女足3战皆负。,Negative
43,81,81,2023-08-01,田柾国金珉奎跳了SEVEN,导语：说cha就cha,Negative
44,82,82,2023-08-01,杨幂喊迪丽热巴巴,导语：《密室大逃脱》杨幂喊迪丽热巴巴,Positive
