,index,Unnamed: 0,Date,Title,Introduction,prediction
0,0,0,2023-07-01,他们的名字成为闪耀的路标,从“大钊路”到“延乔路”，从“钱学森星”到“屠呦呦星”，他们的名字刻在大街小巷，闪耀在璀璨星空。,Positive
1,1,1,2023-07-01,胖东来老板劝网友卖房,近日，胖东来老板于东来在直播间就网友问题的解答引发关注。,Positive
2,3,3,2023-07-01,七一勋章获得者的事迹有多感人,今天，#中国共产党成立102周年#纪念日，重温“七一勋章”获得者的感人事迹，致敬，学习！,Positive
3,5,5,2023-07-01,消失的她票根还有隐藏刀,是哪位网友想到的把《消失的她》温感票根放进冰箱！空气逐渐冰冷，在“何非”背后的“木子”渐渐消失……,Negative
4,6,6,2023-07-01,澡堂子偶遇王嘉尔,请问：网友澡堂子偶遇王嘉尔是什么体验？甚至还一起合照，没有明星架子，隔着屏幕我实名羡慕啦！[赢牛奶],Negative
5,7,7,2023-07-01,Uzi选出VN,Uzi选出VN,Positive
6,8,8,2023-07-01,网友感谢王一博赞助奖学金,网友感谢王一博赞助奖学金。,Positive
7,10,10,2023-07-01,法国骚乱已蔓延到邻国比利时,比利时《晚报》当地时间6月30日报道称，比利时警方当天在布鲁塞尔已逮捕超过100名参与骚乱的年轻人，其中多人“持有武器”。,Negative
8,11,11,2023-07-01,高校男生被女生喷不明液体双方已和解,7月1日，浙江金华。一段男生穿着军训服被女生喷不明液体的视频引关注，网传聊天记录中称该液体为油漆加开水，另有一张医院病历单显示男生二度烧伤。,Negative
9,12,12,2023-07-01,正式被确诊为浣碧,正式被确诊为浣碧,Positive
10,14,14,2023-07-01,杨紫你好星期六下周预告,杨紫《你好星期六》下期预告，长相思小夭来了！,Negative
11,15,15,2023-07-01,消失的她,悬疑犯罪电影《消失的她》将于6月22日全国上映！本片由陈思诚监制，崔睿、刘翔执导，朱一龙、倪妮、文咏珊领衔主演，杜江特邀主演。,Negative
12,17,17,2023-07-01,广西一教师在医院楼顶水箱溺亡,6月29日，有网友在社交媒体发布消息称，广西扶绥县一名驻村干部在该县瑞康医院住院期间，被发现溺亡在医院住院部楼顶的水箱中。,Negative
13,18,18,2023-07-01,徐佳莹女儿好可爱,徐佳莹女儿好可爱,Positive
14,22,22,2023-07-01,女生本科毕业就成功应聘高校教师,近日，湖北工业大学职业技术师范学院19电商（师资）1班王璐同学，以综合第一的好成绩，成功获得引进天门职业学院经济贸易服务学院担任电子商务教师。,Positive
15,23,23,2023-07-01,沈月说到杨迪就哭了,沈月在青春环游记里提到杨迪就感动流泪了,Positive
16,24,24,2023-07-01,鹿晗演唱会给粉丝送Gucci,鹿晗演唱会给粉丝送gucci,Positive
17,26,26,2023-07-01,柳智敏直播状态,柳智敏直播状态,Negative
18,28,28,2023-07-01,于文文去看了薛之谦演唱会,于丸丸去了薛之谦演唱会！ 梦回一波无限歌谣季,Positive
19,29,29,2023-07-01,娄艺潇自曝体重快120斤,6月30日，陕西西安。搜狐新闻马拉松赛后采访环节，@娄艺潇 自曝她的体重快120斤了，她希望大家拒绝身材焦虑，不要过度关注体重，不要过度追求白幼瘦审美。,Positive
20,30,30,2023-07-01,国科大校长说着说着就哭了,7月1日，中国科学院大学毕业典礼，校长周琪院士发表毕业致辞。提到前不久逝世的微电子所研究员黄令仪时，他一度哽咽。“我这辈子最大的心愿就是匍匐在地，擦干祖国身上的耻辱。”,Negative
21,31,31,2023-07-01,丁太昇点评湾区升明月真假唱,丁太昇点评湾区升明月真假唱！说的还挺有道理的！他说“真唱一定比假唱值得尊敬”,Negative
22,33,33,2023-07-01,林俊杰金曲奖致敬林秋离,林俊杰在金曲奖舞台上致敬林秋离！,Positive
23,35,35,2023-07-01,没想到高考只考了520分,没想到高考只考了520分,Positive
24,37,37,2023-07-01,张佳宁屈楚萧现身厦门,张佳宁屈楚萧都已经到了厦门，期待电影版《一闪一闪亮星星》 ​,Negative
25,38,38,2023-07-01,陈哲远会当真的,期待陈哲远的作品！,Negative
26,39,39,2023-07-01,AG好起来了,AG状态和手感都好起来了！,Positive
27,40,40,2023-07-01,女大学生向男生泼热水致二度烧伤,7月1日，浙江金华，网传当地一高校女生向男生泼开水，致对方二级烧伤，校方回应。,Positive
28,43,43,2023-07-01,胡夏理想型拼出来是刘亦菲,胡夏在《剧好听的歌》被 张大大问有没有暗恋的人，最后拼凑出来理想型竟然是刘亦菲！,Negative
29,44,44,2023-07-01,小义S属性大爆发,尊贵的S组打野DYG.小义！你好呀！,Positive
30,45,45,2023-07-01,宋轶骂得我心都化了,家人们谁懂啊，《长风渡》直播扫楼，宋轶被cue现场还原骂碰瓷者台词，语气温温柔柔软软糯糯的，宋轶骂得我心都化了，就是说求求姐姐别骂人了直接骂我吧 [喵喵],Positive
31,47,47,2023-07-01,62岁儿子患癌88岁父亲每天看望,近日，河南信阳，62岁儿子患癌症病危，88岁老父亲陪在病床前偷偷抹泪。据张女士介绍，“他（爷爷）跟我爸视频的时候，突然发现我爸瘦了很多很多，立即从姑姑家跑回来了。”张女士称，爷爷坚强了一辈子，看到父亲现在的样子，每天都在病房偷偷擦眼泪。,Positive
32,48,48,2023-07-01,Cat盾山才是真C,2023KPL夏季赛小组赛第一轮，AG对战LGD第三小局比赛中，Cat盾山疯狂开团，压制力拉满！拿下MVP！,Positive
33,49,49,2023-07-01,第一次见这么优雅的猫,第一次见这么优雅的猫咪,Positive
34,50,50,2023-07-01,HR认可的离职原因,HR认可的离职原因！,Negative
35,51,51,2023-07-01,理想信念是共产党人的精神之钙,每一次集中学习教育，都是理想信念的集中“补钙”，推动全党思想上统一、政治上团结、行动上一致。,Positive
36,52,52,2023-07-01,102年中的变与不变,从1921到2023，既有翻天覆地的“改变”，也有恒久坚持的“不变”。,Positive
37,53,53,2023-07-01,沈月的字,沈月的字，给青春环游记4的手写信，上半年的结束，下半年的开始,Negative
38,54,54,2023-07-01,韩剧里财阀的脱鞋方式,韩剧里财阀的脱鞋方式，真的刷新了我的认识,Negative
39,55,55,2023-07-01,Amber郑秀妍抢镜头,Amber郑秀妍抢镜头,Positive
40,59,59,2023-07-01,朱一龙一番总票房破40亿,消失的她票房破18亿！朱一龙一番电影累计票房突破40亿！ 朱一龙真的是带飞粉丝了！有票房有奖项,Positive
41,60,60,2023-07-01,赵露思家人看到吻戏的反应,@赵露思的微博 的家人看到吻戏的反应。,Positive
42,61,61,2023-07-01,徐佳莹金曲奖最佳作曲人,徐佳莹金曲奖最佳作曲人,Positive
43,62,62,2023-07-01,中国女篮晋级亚洲杯决赛,女篮亚洲杯半决赛，中国队74-60击败澳大利亚队挺进决赛，在决赛中面对日本女篮。,Positive
44,63,63,2023-07-01,AG对战LGD,2023KPL夏季赛常规赛第一轮，成都AG超玩会 vs 杭州LGD.NBW。,Positive
45,64,64,2023-07-01,李梦真的牛,细节！@女篮李梦 借韩旭掩护突破 虚晃一枪骗过防守左手上篮命中,Positive
46,66,66,2023-07-01,00后小伙探亲回家救2人,6月29日，河南郑州，俩男子相约钓鱼，不料开车坠河且都不会游泳。危急时刻，回家的探亲的00后武警战士闻声入水先后救出两人。,Positive
47,68,68,2023-07-01,征程,从决定出发的那一刻，我们的征程就已经开始。正是一代又一代的出发才有今天的中国。行路不辍，征程不止！,Negative
48,69,69,2023-07-01,允许带孩子上班的单位太幸福了,6月28日，湖南邵东，湖南一企业为解决员工照料子女问题，允许全天带孩子上班，孩子们见到老板热情打招呼！当事人袁厂长：考虑到员工照料子女的实际困难，所以放学后把全部小孩子都接到工厂，还请了专职课后辅导老师。网友：能让员工带小孩上班，已经超越99%的老板了，祝你发财！,Positive
49,71,71,2023-07-01,江西一化工厂爆炸,位于江西省贵溪市的江西乾泰新材料有限公司发生爆炸。目前，明火已被扑灭，未造成人员伤亡。,Negative
50,74,74,2023-07-01,曝范玮琪声明是陈建州发的,曝范玮琪发文为陈建州代笔,Positive
51,75,75,2023-07-01,中国女篮决赛对阵日本,在刚刚结束的半决赛中，日本女篮战胜韩国晋级决赛！🇨🇳中国女篮将在决赛中对阵日本女篮🇯🇵！,Positive
52,77,77,2023-07-01,JDG晋级夏季季后赛,【JDG晋级夏季季后赛】今日JDG战胜UP后，JDG已锁定2023LPL夏季赛季后赛名额。已确定晋级季后赛：BLG、JDG#JDG晋级夏季季后赛##2023LPL夏季赛#@JDG京东电子竞技俱乐部,Negative
53,79,79,2023-07-01,顾九思怒怼梁王,《长风渡》顾九思怒怼梁王,Positive
54,80,80,2023-07-01,肖战vlog画外音,肖战vlog画外音,Positive
55,83,83,2023-07-01,雷公与儿子见面时间确认,近日，寻子22年“雷公”终于在深圳找到被拐孩子，引发全网关注。7月1日，雷武泽告诉记者，经过与儿子沟通及全家人的商定，寻子团圆日将定在7月13日。“他妈妈生日那天，川川回家认亲。”,Positive
56,84,84,2023-07-01,张雪峰称老师家长告诉你的全是真的,张雪峰曾在衡水中学演讲时表示，等到自己这个年龄的时候会发现，老师和家长说的话全是真的，比如说“一定要好好学习，不好好学习会后悔的”。他同时表示自己能坚持红是因为学习，学习一定是永无止境的。,Negative
57,86,86,2023-07-01,杀害女子嫌犯靳创民被找到时已死亡,7月1日，@新京报我们视频 从河南永城官方渠道获悉，杀害一女子的“书法家”靳创民已找到。,Negative
58,87,87,2023-07-01,刘瑕被网暴,《暮色心约》angelababy饰演的刘瑕被网暴，好心疼啊,Positive
59,88,88,2023-07-01,马伯骞每年在黄子韬家住两周,《星电音联盟》衍生节目派对后时光中，马伯骞爆料说：自己每年会在黄子韬家住两周！这信息含量也太大了~,Positive
60,90,90,2023-07-01,韩旭压哨三分,太棒啦！金维娜突破分球外线，@韩旭u_ 稳稳命中压哨三分,Positive
61,93,93,2023-07-01,学校把期末成绩发给家长了,学校是懂大学生的！,Positive
62,94,94,2023-07-01,沈月陈小希造型,《青春环游记》沈月陈小希造型,Positive
63,95,95,2023-07-01,牙医建议刷牙后不要立刻漱口,牙医建议刷牙后不要立刻漱口！,Negative
64,97,97,2023-07-01,朱一龙自己给自己挖坑,朱一龙自己给自己挖坑,Positive
65,100,100,2023-07-01,江西杀害3名小孩嫌疑人被抓获,6月30日，宽田乡一名村民告诉记者，半个月前，宽田街上一户人家3名孩子遭人杀害，男性凶手已经被抓了。“（听说）有孩子是上幼儿园的年龄。”于都县政府一名工作人员证实，该县宽田乡确实发生过上述凶杀案，凶手已被抓捕，当地公安在处理此案。,Positive
66,101,101,2023-07-01,李现 这次没有版权问题了,李现发微博分享周杰伦海口演唱会自拍视频！,Positive
67,102,102,2023-07-01,陈都灵六年后再去蘑菇屋,陈都灵六年后再去蘑菇屋,Positive
68,103,103,2023-07-01,杨幂自己改上衣,杨幂今日机场私服好美~,Negative
69,108,108,2023-07-01,WTT常规挑战赛萨格勒布站2023,WTT常规挑战赛萨格勒布站6月26日-7月2日在萨格勒布举行。,Negative
70,109,109,2023-07-01,徐明浩模仿沈月哭掉假睫毛,青春环游记播放@沈月 曾经领奖的视频，因为流眼泪导致眼睫毛粘在一起，@徐明浩_The8 主动模仿，就是说拿捏精髓了。,Positive
71,113,113,2023-07-01,HR让我面试帮忙带杯冰美式,起码hr不把自己当外人啊,Negative
