,index,Unnamed: 0,Date,Title,Introduction,prediction
0,1,1,2023-05-01,朋友圈发什么最让人反感,导语：朋友圈的什么内容最让你反感呢？,Negative
1,2,2,2023-05-01,光荣属于劳动者,导语：“劳动没有高低贵贱之分。只要踏实劳动、勤勉劳动，在平凡岗位上也能干出不平凡的业绩”。光荣属于劳动者，幸福属于劳动者！,Positive
2,3,3,2023-05-01,月收入一万真的简单吗,导语：月收入一万真的简单吗？,Positive
3,7,7,2023-05-01,陈晓毛晓彤十年前vs十年后,导语：陈晓毛晓彤十年前vs十年后两个人根本没有什么变化好吗，依然是俊男美女太好看了！,Positive
4,9,9,2023-05-01,拉萨客栈杀人案嫌犯已被抓捕,导语：4月21日，拉萨市公安局民警在客栈内发现被害人王某尸体，经查，王某系被高某杀害，高某作案后乘坐k306次列车逃跑，反侦查意识非常强，民警化妆成列车员将高某抓获。案件正在进一步调查中。,Positive
5,11,11,2023-05-01,提名你一听到主演名字就不会打开的剧,导语：提名你一听到主演名字就不会打开的剧,Negative
6,15,15,2023-05-01,上淄博公厕配肠炎宁片和卫生巾,导语：近日，山东淄博，游客“进淄赶烤”打卡淄博烧烤城，因为内急上厕所，发现公共厕所里配有“安心篮”，里面不仅有湿厕巾、酒精棉片，还有卫生巾，更绝的是连肠炎宁都准备了。网友不禁感叹简直太贴心了。,Positive
7,20,20,2023-05-01,长月烬明预告,导语：罗云熙白鹿陈都灵邓为长月烬明预告，4月6日起，优酷独播。,Negative
8,23,23,2023-05-01,烧烤店老板为劝退游客自刷17个差评,导语：正值“五一”小长假，淄博文旅官方表示，北京南站到山东淄博的五一火车票开售不到一分钟售罄，预计“五一”超12万人会前往淄博，旅游订单增长超2000%。,Positive
9,24,24,2023-05-01,女子情绪失控端火锅泼人邻桌遭殃,导语：4月30日，甘肃定西，女子吃饭时突然情绪失控，端起火锅泼向同桌男子，邻桌顾客遭殃。,Negative
10,26,26,2023-05-01,赵丽颖要录综艺了,导语：赵丽颖5月行程来了，看到了综艺录制，不知道是什么节目呢？,Negative
11,28,28,2023-05-01,千万不要随便叫别人宝贝,导语：千万不要随便叫别人宝贝,Positive
12,29,29,2023-05-01,帮费曼给他两岁的女儿取中文名,导语：帮费曼给他两岁的女儿取中文名,Positive
13,30,30,2023-05-01,史航回应性骚扰,导语：5月1日，史航回应被多名女性指控性骚扰：情绪我理解，但情况不属实。,Negative
14,31,31,2023-05-01,张丹峰前经纪人名下企业均已注销,导语：天眼查App显示，毕滢共关联2家企业，为北京峰焱文化有限公司、晞彤（上海）影视文化工作室，均为毕滢个人独资，并由其担任法定代表人、投资人。不过，2家企业均已注销。,Negative
15,34,34,2023-05-01,白鹿包场人生路不熟,导语：白鹿包场支持范丞丞新电影,Positive
16,35,35,2023-05-01,黎苏苏三世都被同一个男人追,导语：《长月烬明》澹台烬与黎苏苏的三世纠缠，每一世都各有看点！,Positive
17,40,40,2023-05-01,陈飞宇留胡子了,导语：今日份的陈飞宇整体造型还是很有少年感的，不过唯一变化的就是留胡子了，是要走颓废风格吗？,Positive
18,41,41,2023-05-01,文俊辉直播,导语：文俊辉微博直播进行时～,Negative
19,45,45,2023-05-01,DOU5获胜,导语：恭喜DOU5电子竞技俱乐部获得本场比赛胜利！,Negative
