,index,Unnamed: 0,Date,Title,Introduction,prediction
0,0,0,2023-09-20,读懂总书记对他们的深切关爱,导语：习近平总书记格外关心、格外关注残疾人群体，谆谆嘱托和殷殷期许，温暖而又鼓舞人心。让我们通过一组特殊的“文字”和“语言”，走近残疾人朋友，读懂总书记的深切关爱。,Positive
1,2,2,2023-09-20,洁柔直播间输错价格亏损千万,导语：9月17日，洁柔官方直播间因员工操作失误，将原价56.9元1箱的纸巾误设置为了10元6箱，引发大量用户下单抢购，最终成交订单数超过4万单，损失金额超千万元。,Negative
2,3,3,2023-09-20,世界都知道了杭州有多美,导语：杭州之美，习近平这样讲给世界！,Positive
3,5,5,2023-09-20,日媒曝羽生结弦妻子是中国人,导语：报道指出，末延麻裕子的父母据传是中国人，称“A小姐的故乡（中国的地方报社），大张旗鼓的报道了羽生结弦结婚的新闻。”,Positive
4,7,7,2023-09-20,删除的所有QQ空间都在这里,导语：黑历史都是高清的,Negative
5,10,10,2023-09-20,金熊猫奖获奖名单,导语：首届金熊猫奖电影、电视剧、纪录片、动画片4个单元的25个奖项颁发。,Positive
6,12,12,2023-09-20,花西子离职公关称声明像小学生作文,导语：对话花西子离职公关：声明像小学生作文，无法对抗老板意志,Positive
7,13,13,2023-09-20,加满一箱或将多花14.5元,导语：今日(20日)24时，国内成品油价或再度上调，幅度料创年内新高.,Negative
8,14,14,2023-09-20,杭州亚运会超全补课帖,导语：转存这份超实用攻略，一起看亚运，为运动健儿加油！ ​​​,Positive
9,16,16,2023-09-20,李佳琦直播间仍有千万观看,导语：9月19日，李佳琦再次出现在直播间。根据其昨晚数据显示，这场风波似乎并未大幅影响直播间的热度。,Negative
10,18,18,2023-09-20,花西子旗下多家公司0人参保,导语：据报道，花西子19日发布的公开信引发热议，据悉，该公开信并非出自公司公关部之手，公关部已有员工主动辞职，仅存的几位在职员工也倾向于离职或已经决定离开。,Positive
11,21,21,2023-09-20,月薪6000小伙为见女主播打赏9000万元,导语：9月20日，9月20日，据《方圆》发布，月薪6000小伙为见女主播打赏9000万元。你怎么看？,Negative
12,22,22,2023-09-20,檀健次直播,导语：小檀直播营业中～,Negative
13,24,24,2023-09-20,丈夫如厕常不关门妻子下跪磕头恳求,导语：丈夫如厕常不关门疑带坏女儿，妻子下跪磕头恳求，丈夫淡定玩手机。,Positive
14,25,25,2023-09-20,于适 蓝翔系爱豆,导语：笑得不行了。。。于适总能给我快乐,Positive
15,26,26,2023-09-20,杜海涛亲沈梦辰不让妈妈看,导语：《心动的信号6》大结局，杜海涛忍不住亲了沈梦辰，还不让妈妈看！,Positive
16,28,28,2023-09-20,谁把成毅耳朵煮了,导语：谁把成毅耳朵煮了,Negative
17,29,29,2023-09-20,杨丞琳孟子义何超莲哭惨了,导语：《心动的信号6》大结局，杨丞琳孟子义何超莲哭惨了！,Positive
18,31,31,2023-09-20,当你的结婚海报忘在酒店,导语：当你的结婚海报忘在酒店,Positive
19,34,34,2023-09-20,赵丽颖是周放的宣传委员,导语：赵丽颖是周放的宣传委员,Negative
20,38,38,2023-09-20,安宥真米兰时装周,导语：参加米兰时装周Fendi 24SS新品发布会的宥真,Negative
21,39,39,2023-09-20,英雄联盟崩了,导语：英雄联盟端游服务器都进不去了吗？都崩了嘛?,Negative
22,41,41,2023-09-20,太宰治没死,导语：《文豪野犬》动画最新话，太宰治 没死！！！,Positive
23,43,43,2023-09-20,檀健次出演猎罪图鉴2,导语：檀健次出演猎罪图鉴2,Positive
24,44,44,2023-09-20,武汉三镇补时遭绝平,导语：何塞-坎特第94分钟破门，武汉三镇2-2浦和红钻全场比赛结束、武汉三镇补时遭绝平。,Negative
25,46,46,2023-09-20,不考虑条件最想去的城市,导语：不考虑任何条件最想去的城市。,Positive
26,47,47,2023-09-20,没想到一整箱猕猴桃都是生的,导语：没想到一整箱猕猴桃都是生的,Negative
27,48,48,2023-09-20,张小斐新角色是我的互联网手替,导语：激动人心的时刻终于来了，大家的互联网手替张小斐来了!,Positive
28,49,49,2023-09-20,邓为字母脸链,导语：邓为字母脸链,Positive
29,52,52,2023-09-20,侯卓成杨汝晴亲了四次,导语：《心动的信号》侯卓成杨汝晴亲了四次,Negative
30,53,53,2023-09-20,中国女排vs加拿大女排,导语：巴黎奥运资格赛，中国女排对阵加拿大女排，一起为中国女排加油！,Positive
31,55,55,2023-09-20,第一次见男主纯情到接吻噘嘴的,导语：🥝今晚播出的《特工任务》里这段氛围感十足，永远会被纯情修勾打动！,Positive
32,56,56,2023-09-20,金熊猫奖,导语：金熊猫奖进入倒计时，哪只熊猫届“显眼包”让你心动？,Positive
33,58,58,2023-09-20,武汉三镇vs浦和红钻,导语：亚冠小组赛J组第1轮，武汉三镇半场1-0领先卫冕冠军浦和红钻！张晓彬打入三镇亚冠队史首球,Positive
34,60,60,2023-09-20,极限男人帮新综艺,导语：极限男人帮带着优酷的新综艺《盒子里的猫》来了！,Negative
35,61,61,2023-09-20,为什么年轻人手机都不离身,导语：为什么年轻人手机都不离身？,Positive
36,62,62,2023-09-20,网约车司机担任第87棒火炬手,导语：今日，亚运会火炬传递至最终站杭州，来自各行各业的火炬手都在为杭州亚运会凝聚力量，其中还有网约车司机的身影。网约车司机原永辉担任第87棒火炬手，在接力后他与自己的司机队友拥在一起，共同举起火炬，他们表示会带着优质服务一起为亚运加油。,Positive
37,66,66,2023-09-20,曾在杭州工作6年的习近平这样介绍杭州,导语：杭州之美，习近平这样讲给世界！,Positive
38,70,70,2023-09-20,小杨哥称公司不养闲人,导语：9月19日，在三只羊年中扩大会议上，@疯狂小杨哥  对员工说：“大家记住了，公司不养闲人，招你来是解决问题的，今天凡是觉得工作好做的、容易的，他的收入一定不高，谁能为公司解决问题，谁就是公司的骨干。”,Positive
39,73,73,2023-09-20,女子当街被袭胸巡警火速擒狼,导语：近日，湖北宜昌，一女子夜晚在街头被陌生男子突然袭胸。恰巧几位民警正在巡逻，接到女子报警后，便迅速顺着女子提供的方向追去，当场将违法行为人郭某抓获。,Positive
40,74,74,2023-09-20,花西子公关部或集体离职,导语：花西子19日发布的公开信引发热议。据中新经纬从知情人士处了解到，该公开信并非出自公司公关部之手，公关部已有员工主动辞职。另据了解，目前花西子公关部仍有几位员工在职，但他们也倾向于离职或已经决定离开。,Positive
41,75,75,2023-09-20,职场里别暴露自己的家境,导语：职场里别暴露自己的家境……,Negative
42,78,78,2023-09-20,捐粪便月入6600元,导语：近日，一则“粪便菌群志愿者招募”通知引发社会关注。,Negative
43,79,79,2023-09-20,魏大勋李一桐新剧的cp感,导语：魏大勋李一桐新剧《特工任务》的cp感,Positive
44,82,82,2023-09-20,习近平复信飞虎队老兵,导语：9月12日，国家主席习近平复信美中航空遗产基金会主席格林和飞虎队老兵莫耶、麦克马伦。,Positive
45,84,84,2023-09-20,崩坏3七周年,导语：《崩坏3》七周年庆典即将于9月22日本周五晚19:00官方直播间举行！,Negative
46,85,85,2023-09-20,45岁姐姐坚持跳芭蕾提升自己太美了,导语：广东深圳，赖燕欢从小喜欢芭蕾，儿子上中学后，她决定重拾梦想，努力练习3年第一次参加比赛就获得银奖。如今45岁的赖燕欢说，跳芭蕾后感觉自己更年轻了，还收获了儿子的认可。,Positive
47,86,86,2023-09-20,拒绝了大学室友给我的婚礼红包,导语：拒绝了大学室友给我的婚礼红包,Positive
48,89,89,2023-09-20,广东再添985大学,导语：广东再添一所985大学研究院！,Positive
49,90,90,2023-09-20,知情人称花西子相关声明非公关部撰写,导语：9月19日晚间，有接近花西子的知情人告诉澎湃新闻记者，品牌相关声明内容等跟花西子公关部没有任何关系，非公司公关部撰写。,Negative
50,91,91,2023-09-20,黄子诚卷入间谍活动,导语：《特工任务》黄子诚@魏大勋 卷入间谍活动！,Positive
51,92,92,2023-09-20,黄子诚破相了,导语：《特工任务》黄子诚你的脸肿么受伤了， 感觉不是在受伤就是在受伤的路上,Negative
52,93,93,2023-09-20,千颂伊这精神状态领先我十年,导语：当年《来自星星的你》里的千颂伊那么火是有原因的，精神状态领先我这么多年,Negative
53,94,94,2023-09-20,男生女寝楼下救火引全场尖叫,导语：9月18日，贵州黔西南。一高校女生寝室楼旁电动车突然起火，路过的一位男生看到后飞奔帮灭火引发全场尖叫。,Positive
54,95,95,2023-09-20,旅俄大熊猫幼崽已长出黑背心,导语：18日，莫斯科动物园发布旅俄大熊猫“丁丁”和幼崽的最新视频。大熊猫幼崽已出生20多天，体重正稳步增加，身上黑白毛皮颜色也越发明显，已能看到它独特的“黑背心”。,Negative
55,96,96,2023-09-20,彭清林重回跳桥救人地传火炬,导语：给这个细节点赞！外卖小哥彭清林重回杭州跳桥救人地传火炬,Positive
56,97,97,2023-09-20,国防科技大学开学授衔,导语：学员互相佩戴军衔，新战友们在操场列队，现场整整齐齐犹如复制粘贴，仪式感拉满！,Positive
57,98,98,2023-09-20,内娱现偶之光,导语：你心中的内娱现偶之光是谁呢，快来一起讨论吧~,Positive
58,99,99,2023-09-20,渔民放生300斤海龟后收获3000斤鲳鱼,导语：浙江渔民捕到300斤大海龟，放生后一天收获3000斤鲳鱼,Positive
59,100,100,2023-09-20,老刘爆哭,导语：《再见爱人3》一直坐在角落里忍着情绪的老刘突然爆哭，陷入“更爱自己”的愧疚感中,Positive
60,101,101,2023-09-20,凉山多名百万级网红被捕,导语：9月20日，四川省凉山州举行新闻发布会，通报以“凉山曲布”“赵灵儿”“凉山孟阳”为主要代表团队的“系列网红直播带货虚假宣传案”。,Negative
61,102,102,2023-09-20,王一博程耳现身阿那亚,导语：有网友在阿那亚偶遇王一博和程,Negative
62,103,103,2023-09-20,谁给丞磊做的造型,导语：谁给丞磊做的造型,Positive
63,108,108,2023-09-20,2.5条悟,导语：五条悟被腰斩,Positive
64,111,111,2023-09-20,赵丽颖诉化妆品公司等侵权,导语：天眼查App显示，近日，广州市金日精细化工有限公司、北京世纪中广文化传媒有限公司、林某某、陈某某等新增一则开庭公告，原告为赵丽颖，案由为人格权纠纷，该案将于10月18日在广州市从化区人民法院开庭审理。,Positive
65,113,113,2023-09-20,夜色尚浅给我条活路吧,导语：夜色尚浅给我条活路吧,Negative
66,116,116,2023-09-20,原来塞牙是牙齿在求救,导语：塞牙可能是由于牙龈萎缩、牙缝过大、排列不齐、邻面龋坏......总之，提醒你该去看牙了！,Negative
67,117,117,2023-09-20,安徽为什么叫新能源汽车之都,导语：近年来，安徽“汽势如虹”，新能源汽车版图不断扩大，正逐步打造具有世界影响力的“新能源汽车之都”。,Positive
68,118,118,2023-09-20,防弹少年团与HYBE续约,导语：防弹少年团完成与HYBE第二次续约…可以继续见到7人完整体,Positive
69,119,119,2023-09-20,胡先煦两部新剧都跟车杠上了,导语：行啊胡先煦，那就可以自己开车自己修了，主打一个自己动手丰衣足食，你小子戏路跨度还挺大,Positive
70,121,121,2023-09-20,ccd镜头下的赵今麦,导语：ccd镜头下的赵今麦,Negative
71,124,124,2023-09-20,新人结婚多名男子拿灭火器喷伴娘,导语：9月20日，山东青岛。有网友发视频称，某小区新人结婚，多名男子拿着灭火器直接喷伴娘，伴娘被喷倒地后发出尖叫，男子仍用灭火器朝伴娘身上喷，网友纷纷表示太过分了。,Negative
